accession	filename
GCF_014217605.1	GCF_014217605.1_ASM1421760v1_genomic.fna
GCF_014334115.1	GCF_014334115.1_ASM1433411v1_genomic.fna
GCF_014358075.1	GCF_014358075.1_ASM1435807v1_genomic.fna
GCF_014489075.1	GCF_014489075.1_ASM1448907v1_genomic.fna
GCF_014490665.1	GCF_014490665.1_ASM1449066v1_genomic.fna
GCF_014635185.1	GCF_014635185.1_ASM1463518v1_genomic.fna
GCF_014636175.1	GCF_014636175.1_ASM1463617v1_genomic.fna
GCF_014640975.1	GCF_014640975.1_ASM1464097v1_genomic.fna
GCF_014641735.1	GCF_014641735.1_ASM1464173v1_genomic.fna
GCF_014643695.1	GCF_014643695.1_ASM1464369v1_genomic.fna
GCF_014646015.1	GCF_014646015.1_ASM1464601v1_genomic.fna
GCF_014653575.1	GCF_014653575.1_ASM1465357v1_genomic.fna
GCF_014779795.1	GCF_014779795.1_ASM1477979v1_genomic.fna
GCF_014836535.1	GCF_014836535.1_ASM1483653v1_genomic.fna
GCF_014837165.1	GCF_014837165.1_ASM1483716v1_genomic.fna
GCF_014841615.1	GCF_014841615.1_ASM1484161v1_genomic.fna
GCF_014842075.1	GCF_014842075.1_ASM1484207v1_genomic.fna
GCF_014897585.1	GCF_014897585.1_ASM1489758v1_genomic.fna
GCF_014897705.1	GCF_014897705.1_ASM1489770v1_genomic.fna
GCF_015040615.1	GCF_015040615.1_ASM1504061v1_genomic.fna
GCF_015209585.1	GCF_015209585.1_ASM1520958v1_genomic.fna
GCF_015235415.1	GCF_015235415.1_ASM1523541v1_genomic.fna
GCF_015277815.1	GCF_015277815.1_ASM1527781v1_genomic.fna
GCF_015277855.1	GCF_015277855.1_ASM1527785v1_genomic.fna
GCF_015277875.1	GCF_015277875.1_ASM1527787v1_genomic.fna
GCF_015277895.1	GCF_015277895.1_ASM1527789v1_genomic.fna
GCF_015278255.1	GCF_015278255.1_ASM1527825v1_genomic.fna
GCF_015278315.1	GCF_015278315.1_ASM1527831v1_genomic.fna
GCF_015278355.1	GCF_015278355.1_ASM1527835v1_genomic.fna
GCF_015350795.1	GCF_015350795.1_ASM1535079v1_genomic.fna
GCF_015354505.1	GCF_015354505.1_ASM1535450v1_genomic.fna
GCF_015565955.1	GCF_015565955.1_ASM1556595v1_genomic.fna
GCF_015707995.1	GCF_015707995.1_ASM1570799v1_genomic.fna
GCF_016107325.1	GCF_016107325.1_ASM1610732v1_genomic.fna
GCF_016107655.1	GCF_016107655.1_ASM1610765v1_genomic.fna
GCF_016107685.1	GCF_016107685.1_ASM1610768v1_genomic.fna
GCF_016427505.1	GCF_016427505.1_ASM1642750v1_genomic.fna
GCF_016623465.1	GCF_016623465.1_ASM1662346v1_genomic.fna
GCF_016743815.1	GCF_016743815.1_ASM1674381v1_genomic.fna
GCF_016805985.1	GCF_016805985.1_ASM1680598v1_genomic.fna
GCF_016820445.1	GCF_016820445.1_ASM1682044v1_genomic.fna
GCF_016892625.1	GCF_016892625.1_ASM1689262v1_genomic.fna
GCF_016907255.1	GCF_016907255.1_ASM1690725v1_genomic.fna
GCF_016907295.1	GCF_016907295.1_ASM1690729v1_genomic.fna
GCF_016907315.1	GCF_016907315.1_ASM1690731v1_genomic.fna
GCF_016907455.1	GCF_016907455.1_ASM1690745v1_genomic.fna
GCF_016907555.1	GCF_016907555.1_ASM1690755v1_genomic.fna
GCF_016907735.1	GCF_016907735.1_ASM1690773v1_genomic.fna
GCF_016907815.1	GCF_016907815.1_ASM1690781v1_genomic.fna
GCF_017355365.1	GCF_017355365.1_ASM1735536v1_genomic.fna
GCF_017592545.1	GCF_017592545.1_ASM1759254v1_genomic.fna
GCF_017808105.1	GCF_017808105.1_ASM1780810v1_genomic.fna
GCF_017831975.1	GCF_017831975.1_ASM1783197v1_genomic.fna
GCF_017876435.1	GCF_017876435.1_ASM1787643v1_genomic.fna
GCF_017876515.1	GCF_017876515.1_ASM1787651v1_genomic.fna
GCF_017876545.1	GCF_017876545.1_ASM1787654v1_genomic.fna
GCF_017876655.1	GCF_017876655.1_ASM1787665v1_genomic.fna
GCF_017939615.1	GCF_017939615.1_ASM1793961v1_genomic.fna
GCF_018137945.1	GCF_018137945.1_ASM1813794v1_genomic.fna
GCF_018224615.1	GCF_018224615.1_ASM1822461v1_genomic.fna
GCF_018449795.1	GCF_018449795.1_ASM1844979v1_genomic.fna
GCF_018588945.1	GCF_018588945.1_ASM1858894v1_genomic.fna
GCF_018613995.1	GCF_018613995.1_ASM1861399v1_genomic.fna
GCF_018717645.1	GCF_018717645.1_ASM1871764v1_genomic.fna
GCF_019056515.1	GCF_019056515.1_ASM1905651v1_genomic.fna
GCF_019061125.1	GCF_019061125.1_ASM1906112v1_genomic.fna
GCF_900095745.1	GCF_900095745.1_ASM90009574v1_genomic.fna
GCF_900100885.1	GCF_900100885.1_IMG-taxon_2634166516_annotated_assembly_genomic.fna
GCF_900102005.1	GCF_900102005.1_IMG-taxon_2667527218_annotated_assembly_genomic.fna
GCF_900102175.1	GCF_900102175.1_IMG-taxon_2609459766_annotated_assembly_genomic.fna
GCF_900103265.1	GCF_900103265.1_IMG-taxon_2599185354_annotated_assembly_genomic.fna
GCF_900104345.1	GCF_900104345.1_IMG-taxon_2623620614_annotated_assembly_genomic.fna
GCF_900105045.1	GCF_900105045.1_IMG-taxon_2634166182_annotated_assembly_genomic.fna
GCF_900105205.1	GCF_900105205.1_IMG-taxon_2634166363_annotated_assembly_genomic.fna
GCF_900105315.1	GCF_900105315.1_IMG-taxon_2634166531_annotated_assembly_genomic.fna
GCF_900105335.1	GCF_900105335.1_IMG-taxon_2634166897_annotated_assembly_genomic.fna
GCF_900109205.1	GCF_900109205.1_IMG-taxon_2684623004_annotated_assembly_genomic.fna
GCF_900109565.1	GCF_900109565.1_IMG-taxon_2657245271_annotated_assembly_genomic.fna
GCF_900110035.1	GCF_900110035.1_IMG-taxon_2654588200_annotated_assembly_genomic.fna
GCF_900114095.1	GCF_900114095.1_IMG-taxon_2599185359_annotated_assembly_genomic.fna
GCF_900114345.1	GCF_900114345.1_IMG-taxon_2609459760_annotated_assembly_genomic.fna
GCF_900115295.1	GCF_900115295.1_IMG-taxon_2690315632_annotated_assembly_genomic.fna
GCF_900115745.1	GCF_900115745.1_IMG-taxon_2617270762_annotated_assembly_genomic.fna
GCF_900155915.1	GCF_900155915.1_IMG-taxon_2708742473_annotated_assembly_genomic.fna
GCF_900156435.1	GCF_900156435.1_IMG-taxon_2710264749_annotated_assembly_genomic.fna
GCF_900156455.1	GCF_900156455.1_IMG-taxon_2710264756_annotated_assembly_genomic.fna
GCF_900163655.1	GCF_900163655.1_ASM90016365v1_genomic.fna
GCF_900163715.1	GCF_900163715.1_ASM90016371v1_genomic.fna
GCF_900163815.1	GCF_900163815.1_ASM90016381v1_genomic.fna
GCF_900169065.1	GCF_900169065.1_Assembly_BAUR9175_genomic.fna
GCF_900169145.1	GCF_900169145.1_Assembly_BANT918_genomic.fna
GCF_900169165.1	GCF_900169165.1_Assembly_BLIN9172_genomic.fna
GCF_900169175.1	GCF_900169175.1_Assembly_BJEO58_genomic.fna
GCF_900169265.1	GCF_900169265.1_Assembly_BI49514_genomic.fna
GCF_900169275.1	GCF_900169275.1_Assembly_BC102111_genomic.fna
GCF_900169365.1	GCF_900169365.1_Assembly_BSP239C_genomic.fna
GCF_900184225.1	GCF_900184225.1_PRJEB20939_genomic.fna
GCF_900184245.1	GCF_900184245.1_PRJEB13137_genomic.fna
GCF_900199185.1	GCF_900199185.1_IMG-taxon_2718218511_annotated_assembly_genomic.fna
GCF_900258505.1	GCF_900258505.1_PRJEB23296_genomic.fna
GCF_900292075.1	GCF_900292075.1_PRJEB24954_genomic.fna
GCF_902498785.1	GCF_902498785.1_SPHINGO361_assembly_genomic.fna
GCF_902506375.1	GCF_902506375.1_MICRO8M_assembly_genomic.fna
GCF_902506455.1	GCF_902506455.1_SPHINGO8AM_assembly_genomic.fna
GCF_902506605.1	GCF_902506605.1_SPHINGOAX6_assembly_genomic.fna
GCF_902706225.1	GCF_902706225.1_n18062v0.1_genomic.fna
GCF_903642285.1	GCF_903642285.1_MAGs_Cladonia_metabat2_9_genomic.fna
GCF_903643035.1	GCF_903643035.1_MAGs_Lobaria_metabat2_2_sub_genomic.fna
GCF_903643065.1	GCF_903643065.1_MAGs_Lobaria_metabat2_18_genomic.fna
GCF_903644135.1	GCF_903644135.1_MAGs_Lobaria_metabat2_1_genomic.fna
GCF_903645325.1	GCF_903645325.1_Q2854_genomic.fna
GCF_904066215.1	GCF_904066215.1_ASM90406621v1_genomic.fna
GCF_904831005.1	GCF_904831005.1_G1438_genomic.fna
